csv,air_type,air_w,air_constraints,label,k,schedule,proof_bytes,prove_s,verify_ms,prove_elems_per_s,delta_size_pct,delta_prove_pct,delta_verify_pct,delta_throughput_pct
csv,poseidon_w16_d2,16,16,64by32by16,15,[64,32,16],429008,0.416962,1.678,78587.434231,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,64by32by16,16,[64,32,16,2],428464,0.831343,1.685,78831.500833,212.66,107.28,213.87,-51.76
csv,poseidon_w16_d2,16,16,64by32by16,17,[64,32,16,4],453616,1.666299,1.720,78660.532833,176.95,108.40,192.08,-52.02
csv,poseidon_w16_d2,16,16,64by32by16,18,[64,32,16,8],454000,3.332309,1.741,78667.373493,174.08,109.80,185.09,-52.33
csv,poseidon_w16_d2,16,16,64by32by16,19,[64,32,16,16],559600,6.645849,1.919,78889.548887,233.70,109.71,201.68,-52.31
csv,poseidon_w16_d2,16,16,64by32by16,20,[64,32,16,32],561136,13.334214,2.053,78638.007676,229.83,108.46,205.65,-52.03
csv,poseidon_w16_d2,16,16,64by32by16,21,[64,32,16,64],589168,26.689853,2.446,78574.879632,197.13,109.15,49.82,-52.19
csv,poseidon_w16_d2,16,16,64by32by16,22,[64,32,16,128],595312,53.302625,3.806,78688.507183,193.22,107.98,218.06,-51.92
csv,poseidon_w16_d2,16,16,64by32by16,23,[64,32,16,256],607600,107.632445,8.980,77937.539845,188.19,106.53,254.08,-51.58
csv,poseidon_w16_d2,16,16,64by32by16,24,[64,32,16,512],632176,217.104896,29.550,77277.004325,181.24,102.66,280.55,-50.66
csv,poseidon_w16_d2,16,16,64by32by16,25,[64,32,16,1024],811120,441.128157,111.811,76065.042463,193.90,90.53,295.72,-47.52
csv,poseidon_w16_d2,16,16,16by16by8,11,[16,16,8],160592,0.012235,0.578,167392.059503,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,16by16by8,12,[16,16,8,2],160432,0.023648,0.557,173208.560021,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,16by16by8,13,[16,16,8,4],210544,0.046809,0.684,175008.144758,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,16by16by8,14,[16,16,8,8],210928,0.092469,0.659,177182.986259,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,16by16by8,15,[16,16,8,16],211696,0.184773,0.690,177342.087946,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,16by16by8,16,[16,16,8,32],213232,0.367952,0.817,178110.067271,55.60,-8.26,52.12,9.00
csv,poseidon_w16_d2,16,16,16by16by8,17,[16,16,8,64],266224,0.732831,1.220,178857.032034,62.54,-8.35,107.17,9.11
csv,poseidon_w16_d2,16,16,16by16by8,18,[16,16,8,128],272368,1.466141,2.598,178798.643752,64.43,-7.69,325.32,8.34
csv,poseidon_w16_d2,16,16,16by16by8,19,[16,16,8,256],284656,2.958762,7.767,177198.421401,69.75,-6.64,1120.72,7.11
csv,poseidon_w16_d2,16,16,16by16by8,20,[16,16,8,512],309232,5.977467,28.314,175421.472972,81.76,-6.55,4116.25,7.01
